shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SA_R1,9.0528299,-79.4422729,127,911.23
SA_R1,9.0528703,-79.4421787,128,922.5
SA_R1,9.0529145,-79.4420875,129,933.65
SA_R1,9.0529532,-79.4420097,130,943.23
SA_R1,9.052982,-79.4419398,131,951.54
SA_R1,9.0530157,-79.4418624,132,960.83
SA_R1,9.0530519,-79.4417775,133,970.98
SA_R1,9.0530838,-79.4417015,134,980.05
SA_R1,9.0531139,-79.4416309,135,988.49
SA_R1,9.0531464,-79.4415609,136,996.99
SA_R1,9.0531733,-79.4414903,137,1005.3
SA_R1,9.053203,-79.4414192,138,1013.78
SA_R1,9.0532356,-79.4413567,139,1021.54
SA_R1,9.0532686,-79.4413018,140,1028.6
SA_R1,9.0533131,-79.4412672,141,1034.84
SA_R1,9.05337,-79.4412448,142,1041.61
SA_R1,9.0534254,-79.4412307,143,1047.97
SA_R1,9.0534772,-79.4412377,144,1053.79
SA_R1,9.0535297,-79.441268,145,1060.5
SA_R1,9.0535751,-79.4413044,146,1066.95
SA_R1,9.0536061,-79.4413394,147,1072.1
SA_R1,9.0536255,-79.4413735,148,1076.42
SA_R1,9.0536352,-79.4414181,149,1081.44
SA_R1,9.053635,-79.4414645,150,1086.54
SA_R1,9.0536349,-79.4415034,151,1090.81
SA_R1,9.053627,-79.4415377,152,1094.67
SA_R1,9.05361,-79.4415732,153,1099.01
SA_R1,9.0535751,-79.441625,154,1105.89
SA_R1,9.0535462,-79.4416787,155,1112.61
SA_R1,9.0535128,-79.4417343,156,1119.76
SA_R1,9.0534835,-79.4417933,157,1127.01
SA_R1,9.0534569,-79.441845,158,1133.41
SA_R1,9.0534357,-79.441884,159,1138.3
SA_R1,9.0534217,-79.44191,160,1141.55
SA_R1,9.0534095,-79.4419247,161,1143.66
SA_R1,9.0534063,-79.4419356,162,1144.9
SA_R1,9.0534001,-79.4419487,163,1146.5
SA_R1,9.0533945,-79.4419698,164,1148.9
SA_R1,9.0533846,-79.4419984,165,1152.22
SA_R1,9.0533687,-79.4420305,166,1156.17
SA_R1,9.0533418,-79.4420688,167,1161.33
SA_R1,9.0533052,-79.4421172,168,1168.03
SA_R1,9.0532759,-79.4421725,169,1174.91
SA_R1,9.0532437,-79.4422325,170,1182.42
SA_R1,9.0532112,-79.4422923,171,1189.91
SA_R1,9.0531766,-79.4423513,172,1197.45
SA_R1,9.0531447,-79.4424082,173,1204.63
SA_R1,9.0531118,-79.4424678,174,1212.13
SA_R1,9.0530806,-79.4425299,175,1219.78
SA_R1,9.0530497,-79.4425846,176,1226.7
SA_R1,9.0530247,-79.4426356,177,1232.96
SA_R1,9.0529941,-79.4426881,178,1239.65
SA_R1,9.0529612,-79.4427469,179,1247.06
SA_R1,9.0529344,-79.4428063,180,1254.24
SA_R1,9.0528989,-79.4428614,181,1261.46
SA_R1,9.0528654,-79.4429052,182,1267.55
SA_R1,9.0528409,-79.4429525,183,1273.41
SA_R1,9.0528162,-79.4429936,184,1278.7
SA_R1,9.0527944,-79.4430399,185,1284.33
SA_R1,9.0527745,-79.4430798,186,1289.24
SA_R1,9.0527532,-79.4431204,187,1294.29
SA_R1,9.052741,-79.4431674,188,1299.62
SA_R1,9.0527199,-79.4432154,189,1305.39
SA_R1,9.0526979,-79.4432625,190,1311.11
SA_R1,9.052676,-79.4433099,191,1316.86
SA_R1,9.0526539,-79.4433572,192,1322.61
SA_R1,9.0526364,-79.4433941,193,1327.1
